"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1743","[TC-A11Y-001] Page has main heading and form labels","firefox","Tue Dec 23 14:55:54 EST 2025","passed","Tue Dec 23 14:55:55 EST 2025","","a11y.spec.ts","",""
"","346","[TC-SEC-003] Deep-link to contactList without auth renders page","chromium","Tue Dec 23 14:55:52 EST 2025","passed","Tue Dec 23 14:55:52 EST 2025","","auth.spec.ts","",""
"","1122","[TC-CONTACT-001] Add contact shows in list","chromium","Tue Dec 23 14:55:52 EST 2025","passed","Tue Dec 23 14:55:53 EST 2025","","contacts.spec.ts","",""
"","1327","[TC-API-001,002] Login token and /users/me profile","chromium","Tue Dec 23 14:55:50 EST 2025","passed","Tue Dec 23 14:55:52 EST 2025","","api.spec.ts","",""
"","1517","[TC-AUTH-001] Signup redirects to Contact List","firefox","Tue Dec 23 14:55:56 EST 2025","passed","Tue Dec 23 14:55:58 EST 2025","","auth.spec.ts","",""
"","986","Login with existing user","firefox","Tue Dec 23 14:56:04 EST 2025","passed","Tue Dec 23 14:56:05 EST 2025","","e2e-smoke.spec.ts","",""
"","592","Sign Up","chromium","Tue Dec 23 14:55:52 EST 2025","passed","Tue Dec 23 14:55:53 EST 2025","","e2e-smoke.spec.ts","",""
"","407","[TC-SEC-003] Deep-link to contactList without auth renders page","webkit","Tue Dec 23 14:56:05 EST 2025","passed","Tue Dec 23 14:56:05 EST 2025","","auth.spec.ts","",""
"","1985","Add new contact","firefox","Tue Dec 23 14:56:05 EST 2025","passed","Tue Dec 23 14:56:07 EST 2025","","e2e-smoke.spec.ts","",""
"","144","[TC-API-005] Unauthorized /users/me returns 401/403","chromium","Tue Dec 23 14:55:50 EST 2025","passed","Tue Dec 23 14:55:50 EST 2025","","api.spec.ts","",""
"","2081","[TC-CONTACT-002] Edit contact and see changes","chromium","Tue Dec 23 14:55:52 EST 2025","passed","Tue Dec 23 14:55:54 EST 2025","","contacts.spec.ts","",""
"","1291","[TC-API-001,002] Login token and /users/me profile","webkit","Tue Dec 23 14:56:05 EST 2025","passed","Tue Dec 23 14:56:06 EST 2025","","api.spec.ts","",""
"","1483","Add multiple contacts","chromium","Tue Dec 23 14:55:54 EST 2025","passed","Tue Dec 23 14:55:56 EST 2025","","e2e-smoke.spec.ts","",""
"","748","[TC-A11Y-002] Buttons have accessible names","chromium","Tue Dec 23 14:55:50 EST 2025","passed","Tue Dec 23 14:55:51 EST 2025","","a11y.spec.ts","",""
"","4400","[TC-CONTACT-002] Edit contact and see changes","firefox","Tue Dec 23 14:55:59 EST 2025","passed","Tue Dec 23 14:56:03 EST 2025","","contacts.spec.ts","",""
"","498","Login with existing user","chromium","Tue Dec 23 14:55:53 EST 2025","passed","Tue Dec 23 14:55:53 EST 2025","","e2e-smoke.spec.ts","",""
"","919","Add new contact","chromium","Tue Dec 23 14:55:53 EST 2025","passed","Tue Dec 23 14:55:54 EST 2025","","e2e-smoke.spec.ts","",""
"","127","[TC-API-005] Unauthorized /users/me returns 401/403","firefox","Tue Dec 23 14:55:56 EST 2025","passed","Tue Dec 23 14:55:56 EST 2025","","api.spec.ts","",""
"","1213","[TC-A11Y-002] Buttons have accessible names","webkit","Tue Dec 23 14:56:02 EST 2025","passed","Tue Dec 23 14:56:03 EST 2025","","a11y.spec.ts","",""
"","829","[TC-A11Y-001] Page has main heading and form labels","chromium","Tue Dec 23 14:55:50 EST 2025","passed","Tue Dec 23 14:55:51 EST 2025","","a11y.spec.ts","",""
"","2037","[TC-AUTH-005] API login returns token; /users/me authorized","chromium","Tue Dec 23 14:55:51 EST 2025","passed","Tue Dec 23 14:55:54 EST 2025","","auth.spec.ts","",""
"","1506","[TC-A11Y-001] Page has main heading and form labels","webkit","Tue Dec 23 14:56:01 EST 2025","passed","Tue Dec 23 14:56:03 EST 2025","","a11y.spec.ts","",""
"","1612","Edit Contact","chromium","Tue Dec 23 14:55:56 EST 2025","passed","Tue Dec 23 14:55:57 EST 2025","","e2e-smoke.spec.ts","",""
"","1813","[TC-CONTACT-001] Add contact shows in list","webkit","Tue Dec 23 14:56:05 EST 2025","passed","Tue Dec 23 14:56:07 EST 2025","","contacts.spec.ts","",""
"","1500","Edit Contact","webkit","Tue Dec 23 14:56:11 EST 2025","passed","Tue Dec 23 14:56:12 EST 2025","","e2e-smoke.spec.ts","",""
"","1788","Add multiple contacts","webkit","Tue Dec 23 14:56:09 EST 2025","passed","Tue Dec 23 14:56:11 EST 2025","","e2e-smoke.spec.ts","",""
"","1334","[TC-CONTACT-001] Add contact shows in list","firefox","Tue Dec 23 14:55:59 EST 2025","passed","Tue Dec 23 14:56:00 EST 2025","","contacts.spec.ts","",""
"","743","Login with existing user","webkit","Tue Dec 23 14:56:07 EST 2025","passed","Tue Dec 23 14:56:08 EST 2025","","e2e-smoke.spec.ts","",""
"","2167","Edit Contact","firefox","Tue Dec 23 14:56:09 EST 2025","passed","Tue Dec 23 14:56:11 EST 2025","","e2e-smoke.spec.ts","",""
"","3183","[TC-AUTH-005] API login returns token; /users/me authorized","firefox","Tue Dec 23 14:55:57 EST 2025","passed","Tue Dec 23 14:56:00 EST 2025","","auth.spec.ts","",""
"","600","[TC-SEC-003] Deep-link to contactList without auth renders page","firefox","Tue Dec 23 14:55:58 EST 2025","passed","Tue Dec 23 14:55:59 EST 2025","","auth.spec.ts","",""
"","2261","[TC-AUTH-005] API login returns token; /users/me authorized","webkit","Tue Dec 23 14:56:04 EST 2025","passed","Tue Dec 23 14:56:06 EST 2025","","auth.spec.ts","",""
"","2308","Add multiple contacts","firefox","Tue Dec 23 14:56:07 EST 2025","passed","Tue Dec 23 14:56:09 EST 2025","","e2e-smoke.spec.ts","",""
"","2814","[TC-API-001,002] Login token and /users/me profile","firefox","Tue Dec 23 14:55:55 EST 2025","passed","Tue Dec 23 14:55:57 EST 2025","","api.spec.ts","",""
"","1922","[TC-A11Y-002] Buttons have accessible names","firefox","Tue Dec 23 14:55:54 EST 2025","passed","Tue Dec 23 14:55:56 EST 2025","","a11y.spec.ts","",""
"","1003","[TC-AUTH-001] Signup redirects to Contact List","webkit","Tue Dec 23 14:56:04 EST 2025","passed","Tue Dec 23 14:56:05 EST 2025","","auth.spec.ts","",""
"","130","[TC-API-005] Unauthorized /users/me returns 401/403","webkit","Tue Dec 23 14:56:04 EST 2025","passed","Tue Dec 23 14:56:04 EST 2025","","api.spec.ts","",""
"","2577","Sign Up","firefox","Tue Dec 23 14:56:01 EST 2025","passed","Tue Dec 23 14:56:03 EST 2025","","e2e-smoke.spec.ts","",""
"","1130","[TC-AUTH-001] Signup redirects to Contact List","chromium","Tue Dec 23 14:55:50 EST 2025","passed","Tue Dec 23 14:55:52 EST 2025","","auth.spec.ts","",""
"","1135","Add new contact","webkit","Tue Dec 23 14:56:08 EST 2025","passed","Tue Dec 23 14:56:09 EST 2025","","e2e-smoke.spec.ts","",""
"","2453","[TC-CONTACT-002] Edit contact and see changes","webkit","Tue Dec 23 14:56:06 EST 2025","passed","Tue Dec 23 14:56:08 EST 2025","","contacts.spec.ts","",""
"","816","Sign Up","webkit","Tue Dec 23 14:56:06 EST 2025","passed","Tue Dec 23 14:56:07 EST 2025","","e2e-smoke.spec.ts","",""
